TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,1128,MsMpEng.exe,0xb721cb0000,0xb721daffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
20 00 00 00 e0 ff 0f 00 0c 00 00 00 01 00 05 00  ...............
00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 .B.P.0.p.`......
08 00 42 00 00 00 00 05 48 8b 45 20 48 89 c2 48 ..B.....H.E H..H
8b 45 18 48 8b 00 48 89 02 48 8b 45 20 81 00 a0 .E.H..H..H.E ...",20 00 00 00 e0 ff 0f 00 0c 00 00 00 01 00 05 00 00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 08 00 42 00 00 00 00 05 48 8b 45 20 48 89 c2 48 8b 45 18 48 8b 00 48 89 02 48 8b 45 20 81 00 a0
0,1128,MsMpEng.exe,0xb721db0000,0xb721faffff,VadS,PAGE_EXECUTE_READWRITE,512,1,Disabled,N/A,"
20 00 00 00 e0 ff 1f 00 0c 00 00 00 01 00 05 00  ...............
00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 .B.P.0.p.`......
09 00 34 00 09 00 01 05 8b 55 18 8b 4d 54 8d 54 ..4......U..MT.T
0a fc b9 04 00 1a 00 ff 95 90 38 00 00 8b 4d 1c ..........8...M.",20 00 00 00 e0 ff 1f 00 0c 00 00 00 01 00 05 00 00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 09 00 34 00 09 00 01 05 8b 55 18 8b 4d 54 8d 54 0a fc b9 04 00 1a 00 ff 95 90 38 00 00 8b 4d 1c
0,1928,explorer.exe,0x4a90000,0x4a90fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,1928,explorer.exe,0xe570000,0xe570fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 57 0e 00 00 00 00 00 00 00 00 00 00 00 00 ..W.............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 57 0e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,1960,wmpnetwk.exe,0xe125420000,0xe12542ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
98 2e 35 9e fb 7f 00 00 38 4a 38 9e fb 7f 00 00 ..5.....8J8.....
b0 02 27 24 e1 00 00 00 bf 0e 39 9e fb 7f 00 00 ..'$......9.....
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 P...............",98 2e 35 9e fb 7f 00 00 38 4a 38 9e fb 7f 00 00 b0 02 27 24 e1 00 00 00 bf 0e 39 9e fb 7f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,1960,wmpnetwk.exe,0xe125440000,0xe12544ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
43 00 3a 00 5c 00 57 00 69 00 6e 00 64 00 6f 00 C.:.\\.W.i.n.d.o.
77 00 73 00 5c 00 57 00 69 00 6e 00 53 00 78 00 w.s.\\.W.i.n.S.x.
53 00 5c 00 61 00 6d 00 64 00 36 00 34 00 5f 00 S.\\.a.m.d.6.4._.",01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 00 3a 00 5c 00 57 00 69 00 6e 00 64 00 6f 00 77 00 73 00 5c 00 57 00 69 00 6e 00 53 00 78 00 53 00 5c 00 61 00 6d 00 64 00 36 00 34 00 5f 00
0,2912,audiodg.exe,0xfe69980000,0xfe6998ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
00 01 00 00 00 00 00 00 d0 b6 6d 69 fe 00 00 00 ..........mi....
e0 9a 47 9e fb 7f 00 00 d8 07 39 9e fb 7f 00 00 ..G.......9.....
00 00 00 00 00 00 00 00 44 00 00 00 00 00 00 00 ........D.......
80 00 00 00 00 00 00 00 35 01 00 c0 00 00 00 00 ........5.......",00 01 00 00 00 00 00 00 d0 b6 6d 69 fe 00 00 00 e0 9a 47 9e fb 7f 00 00 d8 07 39 9e fb 7f 00 00 00 00 00 00 00 00 00 00 44 00 00 00 00 00 00 00 80 00 00 00 00 00 00 00 35 01 00 c0 00 00 00 00
0,1480,chrome.exe,0x30316f0000,0x30316f0fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 6f 31 30 00 00 00 00 00 00 00 00 00 00 00 ..o10...........
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6f 31 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,4008,chrome.exe,0xeaa1c90000,0xeaa1c9ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
08 01 00 00 00 00 00 00 36 00 00 00 00 00 00 00 ........6.......
01 01 00 00 76 00 00 00 00 00 00 00 ea 00 00 00 ....v...........
76 00 00 00 00 00 00 00 01 00 00 00 ea 00 00 00 v...............
50 1f b1 a1 ea 00 00 00 00 00 00 00 88 00 00 00 P...............",08 01 00 00 00 00 00 00 36 00 00 00 00 00 00 00 01 01 00 00 76 00 00 00 00 00 00 00 ea 00 00 00 76 00 00 00 00 00 00 00 01 00 00 00 ea 00 00 00 50 1f b1 a1 ea 00 00 00 00 00 00 00 88 00 00 00
0,4008,chrome.exe,0xeaa1c80000,0xeaa1c8ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
60 18 3f 9e 02 00 00 00 00 00 00 00 00 00 00 00 `.?.............
00 00 00 00 00 00 00 00 00 18 02 00 00 00 00 00 ................
00 15 3f 9e fb 7f 00 00 00 00 04 99 fb 7f 00 00 ..?.............
00 00 00 00 00 00 00 00 10 a0 b2 a4 ea 00 00 00 ................",60 18 3f 9e 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 18 02 00 00 00 00 00 00 15 3f 9e fb 7f 00 00 00 00 04 99 fb 7f 00 00 00 00 00 00 00 00 00 00 10 a0 b2 a4 ea 00 00 00
0,640,svchost.exe,0xd1eded0000,0xd1ededffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,640,svchost.exe,0xd1f9650000,0xd1f965ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,792,$uckyLocker.ex,0x4b50000,0x4b5ffff,VadS,PAGE_EXECUTE_READWRITE,5,1,Disabled,N/A,"
74 60 be d4 e4 04 00 01 ee ff ee ff 02 00 00 00 t`..............
a4 00 b5 04 a4 00 b5 04 00 00 b5 04 00 00 b5 04 ................
0f 00 00 00 98 04 b5 04 00 f0 b5 04 0a 00 00 00 ................
01 00 00 00 00 00 00 00 f0 4f b5 04 f0 4f b5 04 .........O...O..",74 60 be d4 e4 04 00 01 ee ff ee ff 02 00 00 00 a4 00 b5 04 a4 00 b5 04 00 00 b5 04 00 00 b5 04 0f 00 00 00 98 04 b5 04 00 f0 b5 04 0a 00 00 00 01 00 00 00 00 00 00 00 f0 4f b5 04 f0 4f b5 04
0,792,$uckyLocker.ex,0x26d0000,0x26dffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
60 62 72 99 f9 21 00 01 ee ff ee ff 02 00 00 00 `br..!..........
a4 00 6d 02 a4 00 6d 02 00 00 6d 02 00 00 6d 02 ..m...m...m...m.
0f 00 00 00 98 04 6d 02 00 f0 6d 02 0e 00 00 00 ......m...m.....
01 00 00 00 00 00 00 00 f0 0f 6d 02 f0 0f 6d 02 ..........m...m.",60 62 72 99 f9 21 00 01 ee ff ee ff 02 00 00 00 a4 00 6d 02 a4 00 6d 02 00 00 6d 02 00 00 6d 02 0f 00 00 00 98 04 6d 02 00 f0 6d 02 0e 00 00 00 01 00 00 00 00 00 00 00 f0 0f 6d 02 f0 0f 6d 02
0,792,$uckyLocker.ex,0x4b40000,0x4b47fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 78 3e b5 04 78 3e b5 04 00 00 b5 04 ....x>..x>......
60 08 b4 04 00 10 b4 04 00 80 b4 04 01 00 00 00 `...............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
04 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 78 3e b5 04 78 3e b5 04 00 00 b5 04 60 08 b4 04 00 10 b4 04 00 80 b4 04 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00

